Phase      Phase Name                                  Main Thing It Does
        0 Vision Lock                                  Defines exactly what Obsidian Protocol is, what it must be, and what it must never become.
       50 Beta                                         Brings the game to feature/content complete status and performs broad balance, compatibility, networking, persistence, security, and optimization work.
       51 Balance                                      Tunes units, weapons, resources, deployment, AI, maps, progression, economy, match length, and strategic diversity.
       52 Final Art Pass                               Replaces every remaining placeholder and brings units, environments, facilities, UI, animation, VFX, materials, textures, audio, cinematics, and marketing visuals to final quality.
       53 UX / Player Experience Pass                  Plays the game as a completely new player and verifies that the entire experience communicates the game's unique identity and gameplay loop.
54 Final Multiplayer Test   Performs the final multiplayer stress and reliability testing across player counts, latency, packet loss, disconnects, recovery, servers, and exploits.
55 Platform Certification   Prepares and validates the game against the technical, account, controller, network, privacy, store, performance, and certification requirements of each target platform.
56 Release Build            Creates the actual production client/server build and verifies all backend, authentication, matchmaking, persistence, commerce, support, security, and recovery systems.
57 Final Release Candidate  Freezes feature development and allows only critical fixes while performing final regression, performance, multiplayer, security, platform, store, art, audio, UI, and localization checks.
58 Launch Preparation       Prepares everything surrounding release: store page, trailer, screenshots, documentation, community, support, marketing, server capacity, monitoring, and incident response.
59 Release                  Ships Obsidian Protocol: production build, servers, authentication, matchmaking, persistence, commerce, monitoring, and support go live.
60 Launch Day               Actively monitors the live launch and handles crashes, servers, networking, economy, purchases, exploits, AI failures, performance, rollback, hotfixes, and recovery.
61 Post-Launch              Analyzes the first day, week, and month to understand crashes, performance, player behavior, economy, AI, balance, community feedback, and future improvements.
62 Live Game                Continues operating and expanding the game through patches, security, balance, units, maps, missions, facility content, cosmetics, events, scaling, and justified new systems.
